timestamp [ms],,temperature [C],pressure [Pa], altitude [m] ,pm2_5 [microg/m3],pm10_0 [microg/m3]
2528005,2528.005,14.73,87116.43,1256.43,17,22
2528031,2528.031,14.73,87116.81,1256.39,17,22
2528057,2528.057,14.73,87116.58,1256.41,17,22
2528083,2528.083,14.73,87114.65,1256.59,17,22
2528109,2528.109,14.73,87117.02,1256.37,17,22
2528135,2528.135,14.73,87115.41,1256.52,17,22
2528161,2528.161,14.73,87116.34,1256.44,17,22
2528187,2528.187,14.73,87113.56,1256.7,17,22
2528213,2528.213,14.73,87115.41,1256.52,17,22
2528239,2528.239,14.73,87116.08,1256.46,17,22
2528265,2528.265,14.73,87114.76,1256.58,17,22
2528290,2528.29,14.73,87116.22,1256.45,17,22
2528316,2528.316,14.73,87114.99,1256.56,17,22
2528342,2528.342,14.73,87117.05,1256.37,17,22
2528368,2528.368,14.73,87117.45,1256.33,17,22
2528394,2528.394,14.73,87115.48,1256.52,17,22
2528420,2528.42,14.73,87118.86,1256.2,17,22
2528446,2528.446,14.73,87117.54,1256.32,17,22
2528472,2528.472,14.73,87116.7,1256.4,17,22
2528498,2528.498,14.73,87115.66,1256.5,17,22
2528524,2528.524,14.73,87113.3,1256.72,17,22
2528550,2528.55,14.73,87116.07,1256.46,17,22
2528576,2528.576,14.74,87113.07,1256.74,17,22
2528602,2528.602,14.74,87118.22,1256.26,17,22
2528628,2528.628,14.74,87116.55,1256.42,17,22
2528654,2528.654,14.74,87112.55,1256.79,17,22
2528694,2528.694,14.74,87114.43,1256.62,17,22
2528714,2528.714,14.74,87111.33,1256.91,17,22
2528740,2528.74,14.74,87115.05,1256.56,17,22
2528766,2528.766,14.74,87111.84,1256.86,17,22
2528792,2528.792,14.73,87114.33,1256.62,17,22
2528818,2528.818,14.73,87112.87,1256.76,17,22
2528844,2528.844,14.73,87111.43,1256.9,17,22
2528870,2528.87,14.74,87113.3,1256.72,17,22
2528896,2528.896,14.73,87113.1,1256.74,17,22
2528922,2528.922,14.74,87114.03,1256.65,17,22
2528948,2528.948,14.74,87113.3,1256.72,17,22
2528974,2528.974,14.74,87111.62,1256.88,17,22
2529000,2529,14.74,87109.92,1257.04,17,22
2529026,2529.026,14.74,87110.25,1257.01,17,22
2529052,2529.052,14.74,87112.3,1256.82,17,22
2529078,2529.078,14.74,87110.23,1257.01,17,22
2529104,2529.104,14.74,87109.02,1257.12,17,22
2529130,2529.13,14.74,87108.73,1257.15,17,22
2529156,2529.156,14.74,87107.94,1257.23,17,22
2529182,2529.182,14.74,87106.98,1257.32,17,22
2529208,2529.208,14.74,87109.53,1257.08,17,22
