timestamp_ms,co2_ppm,temperature_C,pressure_hPa
10641,0.00,17.53,949.67
11669,0.00,17.54,949.68
12670,0.00,17.55,949.68
13682,813.00,17.56,949.67
14701,813.00,17.57,949.67
15721,813.00,17.53,949.69
16728,813.00,17.58,949.68
17736,780.00,17.59,949.69
18754,780.00,17.60,949.69
19757,780.00,17.62,949.69
20773,780.00,17.63,949.69
21784,780.00,17.63,949.70
22790,763.00,17.64,949.70
23799,763.00,17.65,949.71
24800,763.00,17.66,949.70
25813,763.00,17.67,949.72
26827,763.00,17.67,949.69
27827,756.00,17.66,949.70
28829,756.00,17.68,949.69
29837,756.00,17.69,949.71
30837,756.00,17.70,949.71
31837,757.00,17.70,949.70
32842,757.00,17.71,949.69
33867,757.00,17.71,949.69
34875,757.00,17.72,949.68
35876,757.00,17.72,949.71
36903,758.00,17.73,949.71
37929,758.00,17.74,949.71
38932,758.00,17.74,949.69
39935,758.00,17.75,949.71
41112,752.00,17.72,949.72
42121,752.00,17.76,949.71
43122,752.00,17.77,949.69
44131,752.00,17.76,949.72
45134,752.00,17.78,949.71
46134,745.00,17.78,949.68
47158,745.00,17.78,949.69
48186,745.00,17.79,949.71
49190,745.00,17.80,949.71
50205,745.00,17.81,949.70
51218,745.00,17.81,949.71
52224,745.00,17.81,949.70
53262,745.00,17.83,949.70
54267,745.00,17.83,949.70
55268,745.00,17.84,949.71
56296,745.00,17.84,949.72
57306,745.00,17.84,949.71
58307,745.00,17.85,949.69
59312,745.00,17.86,949.70
60318,745.00,17.86,949.70
61337,745.00,17.85,949.70
62351,745.00,17.87,949.71
63360,745.00,17.88,949.69
64363,745.00,17.88,949.70
65370,745.00,17.89,949.71
66371,745.00,17.89,949.72
67385,745.00,17.90,949.72
68397,745.00,17.91,949.73
69422,745.00,17.90,949.73
70478,745.00,17.92,949.71
71487,745.00,17.92,949.71
72500,745.00,17.92,949.72
73511,745.00,17.93,949.72
74511,744.00,17.94,949.72
75514,744.00,17.93,949.71
76541,744.00,17.95,949.71
77552,744.00,17.95,949.71
78559,745.00,17.96,949.71
79569,745.00,17.96,949.70
80575,745.00,17.97,949.70
81581,745.00,17.97,949.72
82602,745.00,17.98,949.72
83606,746.00,17.98,949.71
84615,746.00,17.99,949.69
85629,746.00,17.99,949.69
86633,746.00,18.00,949.70
87641,746.00,18.00,949.70
88669,742.00,18.01,949.71
89677,742.00,18.02,949.68
90683,742.00,18.03,949.68
91695,742.00,18.03,949.68
92702,740.00,18.04,949.67
93717,740.00,18.04,949.68
94732,740.00,18.01,949.72
95736,740.00,18.05,949.68
96750,740.00,18.06,949.70
97778,739.00,18.06,949.68
98789,739.00,18.06,949.68
99796,739.00,18.07,949.67
100808,739.00,18.07,949.65
101815,738.00,18.08,949.67
102821,738.00,18.09,949.66
103833,738.00,18.09,949.64
104844,738.00,18.09,949.68
105845,738.00,18.10,949.68
106852,737.00,18.11,949.69
107858,737.00,18.12,949.68
108862,737.00,18.12,949.69
109878,737.00,18.12,949.68
110882,737.00,18.13,949.68
111911,736.00,18.13,949.69
112919,736.00,18.14,949.69
113933,736.00,18.15,949.69
114941,736.00,18.15,949.68
115944,736.00,18.16,949.69
116951,736.00,18.16,949.69
117977,736.00,18.17,949.68
118988,736.00,18.18,949.69
120005,736.00,18.13,949.69
121009,736.00,18.19,949.68
122026,736.00,18.19,949.70
123027,736.00,18.20,949.67
124043,736.00,18.21,949.66
125071,736.00,18.21,949.68
126082,736.00,18.22,949.68
127099,736.00,18.22,949.68
128109,736.00,18.23,949.68
129125,736.00,18.24,949.68
130136,737.00,18.24,949.69
131147,737.00,18.25,949.69
132152,737.00,18.25,949.68
133153,737.00,18.26,949.67
134176,737.00,18.26,949.68
135204,739.00,18.27,949.68
136210,739.00,18.28,949.66
137224,739.00,18.28,949.67
138227,739.00,18.29,949.68
139229,746.00,18.30,949.67
140245,746.00,18.30,949.66
141254,746.00,18.30,949.67
142261,746.00,18.31,949.67
143265,746.00,18.31,949.66
144269,751.00,18.32,949.67
145378,751.00,18.32,949.66
146380,751.00,18.33,949.67
147394,751.00,18.34,949.65
148422,762.00,18.34,949.67
149439,762.00,18.34,949.65
150445,762.00,18.35,949.66
151456,762.00,18.36,949.65
152464,762.00,18.36,949.65
153480,769.00,18.36,949.65
154481,769.00,18.37,949.65
155495,769.00,18.38,949.64
156508,769.00,18.39,949.65
157519,769.00,18.39,949.65
158527,781.00,18.39,949.67
159535,781.00,18.40,949.65
160550,781.00,18.41,949.65
161553,781.00,18.42,949.66
162556,794.00,18.42,949.65
163568,794.00,18.42,949.64
164579,794.00,18.43,949.66
165599,794.00,18.43,949.67
166604,794.00,18.44,949.66
167611,815.00,18.44,949.65
168611,815.00,18.45,949.67
169617,815.00,18.46,949.67
170619,815.00,18.46,949.67
171625,815.00,18.47,949.66
172639,835.00,18.47,949.67
173645,835.00,18.48,949.66
174649,835.00,18.49,949.67
175664,835.00,18.49,949.66
176668,851.00,18.49,949.64
177685,851.00,18.50,949.66
178692,851.00,18.50,949.66
179695,851.00,18.51,949.67
180717,851.00,18.51,949.65
181720,864.00,18.52,949.66
182728,864.00,18.52,949.67
183762,864.00,18.53,949.63
184789,864.00,18.53,949.65
185806,882.00,18.54,949.67
186820,882.00,18.54,949.66
187820,882.00,18.55,949.65
188833,882.00,18.55,949.65
189833,882.00,18.56,949.66
190842,889.00,18.56,949.65
191861,889.00,18.57,949.64
192869,889.00,18.57,949.66
193872,889.00,18.58,949.66
194874,889.00,18.58,949.65
195879,890.00,18.59,949.66
196879,890.00,18.59,949.67
197890,890.00,18.60,949.66
198905,890.00,18.60,949.65
199928,888.00,18.61,949.65
201042,888.00,18.61,949.65
202055,888.00,18.61,949.67
timestamp_ms,co2_ppm,temperature_C,pressure_hPa
8809,0.00,20.20,949.61
9809,0.00,20.38,949.57
10838,0.00,20.40,949.58
11868,0.00,20.41,949.56
12871,0.00,20.42,949.59
13873,653.00,20.43,949.57
14877,653.00,20.43,949.57
15904,653.00,20.44,949.56
16909,653.00,20.44,949.57
17917,672.00,20.45,949.57
18928,672.00,20.45,949.59
19955,672.00,20.46,949.59
20970,672.00,20.46,949.58
21971,672.00,20.46,949.55
22984,683.00,20.46,949.56
23991,683.00,20.47,949.57
24997,683.00,20.48,949.57
26007,683.00,20.48,949.56
27020,691.00,20.48,949.56
28035,691.00,20.48,949.58
29036,691.00,20.49,949.56
30044,691.00,20.49,949.55
31053,691.00,20.50,949.55
32061,699.00,20.50,949.55
33079,699.00,20.50,949.55
34097,699.00,20.50,949.57
35103,699.00,20.51,949.56
36104,699.00,20.51,949.55
37117,701.00,20.51,949.55
38117,701.00,20.52,949.56
39134,701.00,20.52,949.55
40140,701.00,20.52,949.56
41157,700.00,20.52,949.55
42166,700.00,20.53,949.58
43183,700.00,20.53,949.55
44194,700.00,20.51,949.56
45203,700.00,20.53,949.58
46205,697.00,20.54,949.57
47206,697.00,20.54,949.56
48217,697.00,20.54,949.56
49229,697.00,20.55,949.56
50230,697.00,20.55,949.56
51233,696.00,20.55,949.56
52242,696.00,20.55,949.57
53243,696.00,20.56,949.55
54252,696.00,20.56,949.56
55260,694.00,20.56,949.55
56263,694.00,20.56,949.55
57270,694.00,20.57,949.55
58276,694.00,20.57,949.55
59280,694.00,20.57,949.55
60285,692.00,20.57,949.56
61294,692.00,20.57,949.57
62297,692.00,20.58,949.55
63302,692.00,20.58,949.56
64312,692.00,20.58,949.56
65313,690.00,20.59,949.56
66323,690.00,20.59,949.56
67339,690.00,20.59,949.55
68339,690.00,20.59,949.56
69349,685.00,20.60,949.57
70360,685.00,20.60,949.56
71369,685.00,20.60,949.56
72390,685.00,20.59,949.57
73406,685.00,20.60,949.54
74414,682.00,20.60,949.55
75417,682.00,20.61,949.57
76435,682.00,20.61,949.57
77444,682.00,20.61,949.55
78447,676.00,20.62,949.54
79456,676.00,20.62,949.56
80465,676.00,20.62,949.54
81466,676.00,20.62,949.55
82472,676.00,20.62,949.56
83485,673.00,20.63,949.56
84489,673.00,20.63,949.57
85496,673.00,20.63,949.57
86512,673.00,20.63,949.57
87516,673.00,20.64,949.57
88522,670.00,20.64,949.56
89537,670.00,20.64,949.57
90566,670.00,20.64,949.57
91582,670.00,20.65,949.56
92588,670.00,20.65,949.56
93594,670.00,20.65,949.58
94594,670.00,20.65,949.54
95604,670.00,20.66,949.56
96609,670.00,20.66,949.56
97621,669.00,20.66,949.56
98628,669.00,20.67,949.56
99640,669.00,20.62,949.57
100646,669.00,20.67,949.56
101672,668.00,20.67,949.58
102698,668.00,20.68,949.58
103702,668.00,20.68,949.56
104714,668.00,20.68,949.57
