# Processed Acoustic Event Data, only loud events that exceed 70dBSPL
# Original format: eventMillis, peak_stored, rms_stored, zeroCrossings
# eventTime_s = eventMillis / 1000.0 (time of event since device boot, wraps at 255ms due to uint8 bug)
# peak_dBSPL = 20*log10(peak_stored * 128) + 29.69  [calibrated: raw=368, raw stored=2.875 -> 81dB SPL]
# rms_dBSPL  = 20*log10(rms_stored  * 128) + 29.69
#
Line    EventMillis  EventTime_s  Peak_stored   Peak_dBSPL  RMS_stored   RMS_dBSPL  Duration_ms  ZeroCross
247             124        0.124            2         77.8           1        71.8          653          0
248             125        0.125            3         81.4           1        71.8          185          0
249             125        0.125            3         81.4           1        71.8           46          0
250             126        0.126            2         77.8           1        71.8           46          0
251             127        0.127            4         83.9           2        77.8          185          0
252             128        0.128            1         71.8           1        71.8            0          0
253             128        0.128            1         71.8           1        71.8          646          0
254             130        0.130            1         71.8           1        71.8           46          0
255             133        0.133            1         71.8           1        71.8            0          0
256             136        0.136            1         71.8           1        71.8            0          0
257             136        0.136            1         71.8           1        71.8            0          0
258             176        0.176            1         71.8           1        71.8            0          0
259             185        0.185            1         71.8           1        71.8          109          0
260             185        0.185            1         71.8           1        71.8           46          0
261             189        0.189            1         71.8           1        71.8           49          0
262             190        0.190            1         71.8           1        71.8           46          0
263             190        0.190            1         71.8           1        71.8           92          0
264             191        0.191            2         77.8           1        71.8          141          0
265             192        0.192            1         71.8           1        71.8            0          0
266             193        0.193            1         71.8           1        71.8            0          0
267             195        0.195            1         71.8           1        71.8            0          0
268             195        0.195            1         71.8           1        71.8            0          0
269             195        0.195            1         71.8           1        71.8           46          0
270             197        0.197            2         77.8           1        71.8           47          0
271             197        0.197            1         71.8           1        71.8           95          0
272             198        0.198            1         71.8           1        71.8           92          0
273             203        0.203            1         71.8           1        71.8            0          0
274             203        0.203            1         71.8           1        71.8           46          0
275             205        0.205            4         83.9           1        71.8          139          0
276             206        0.206            1         71.8           1        71.8            0          0
277             209        0.209            1         71.8           1        71.8           46          0
278             210        0.210            1         71.8           1        71.8            0          0
279             210        0.210            1         71.8           1        71.8            0          0
280             210        0.210            1         71.8           1        71.8            0          0
281             213        0.213            1         71.8           1        71.8            0          0
282             214        0.214            1         71.8           1        71.8           47          0
283             214        0.214            1         71.8           1        71.8           92          0
284             214        0.214            1         71.8           1        71.8            0          0
285             216        0.216            3         81.4           1        71.8          321          0
286             216        0.216            1         71.8           1        71.8           47          0
287             216        0.216            1         71.8           1        71.8            0          0
288             218        0.218            1         71.8           1        71.8            0          0
289             218        0.218            3         81.4           1        71.8          975          0
290             220        0.220            2         77.8           1        71.8          371          0
291             222        0.222            1         71.8           1        71.8            0          0
292             222        0.222            2         77.8           1        71.8          185          0
293             222        0.222            2         77.8           1        71.8           47          0
294             225        0.225            2         77.8           1        71.8          141          0
295             227        0.227            1         71.8           1        71.8            0          0
296             228        0.228            1         71.8           1        71.8            0          0
297             228        0.228            1         71.8           1        71.8            0          0
298             228        0.228            1         71.8           1        71.8           46          0
299             228        0.228            1         71.8           1        71.8            0          0
300             230        0.230            1         71.8           1        71.8            0          0
301             231        0.231            2         77.8           1        71.8          275          0
302             232        0.232            2         77.8           1        71.8           92          0
303             232        0.232            3         81.4           1        71.8            0          0
304             233        0.233            1         71.8           1        71.8           46          0
305             237        0.237            1         71.8           1        71.8            0          0
306             238        0.238            1         71.8           1        71.8            0          0
307             240        0.240            1         71.8           1        71.8            0          0
308             242        0.242            1         71.8           1        71.8           46          0
309             243        0.243            1         71.8           1        71.8            0          0
310             246        0.246            1         71.8           1        71.8            0          0
311             246        0.246            1         71.8           1        71.8            0          0
312             247        0.247            1         71.8           1        71.8           46          0
313             248        0.248            1         71.8           1        71.8            0          0
314             250        0.250            3         81.4           1        71.8            0          0
315             250        0.250            1         71.8           1        71.8           46          0
316             251        0.251            1         71.8           1        71.8            0          0
317             251        0.251            1         71.8           1        71.8          137          0
318             252        0.252            1         71.8           1        71.8          138          0
319             254        0.254            1         71.8           1        71.8            0          0
320             254        0.254            1         71.8           1        71.8            0          0
321               1        0.001            1         71.8           1        71.8            0          0
322               1        0.001            1         71.8           1        71.8            0          0
323               1        0.001            1         71.8           1        71.8           92          0
324               2        0.002            1         71.8           1        71.8            0          0
325               8        0.008            1         71.8           1        71.8            0          0
326              16        0.016            1         71.8           1        71.8          748          0
327              17        0.017            1         71.8           1        71.8            0          0
328              19        0.019            2         77.8           1        71.8            1          0
329              21        0.021            1         71.8           1        71.8            0          0
330              23        0.023            1         71.8           1        71.8            0          0
331              24        0.024            2         77.8           1        71.8           46          0
332              26        0.026            1         71.8           1        71.8           47          0
333              27        0.027            1         71.8           1        71.8            0          0
334              29        0.029            1         71.8           1        71.8            1          0
335              31        0.031            1         71.8           1        71.8            0          0
336              31        0.031            1         71.8           1        71.8            0          0
337              32        0.032            2         77.8           1        71.8          139          0
